observation_date,UNRTUKA_20170430,UNRTUKA_20171120
1895-01-01,6.32,6.30
1896-01-01,5.27,5.26
1897-01-01,5.09,5.09
1898-01-01,4.22,4.23
1899-01-01,3.70,3.71
1900-01-01,3.67,3.68
1901-01-01,4.86,4.86
1902-01-01,5.13,5.13
1903-01-01,5.59,5.58
1904-01-01,6.89,6.87
1905-01-01,6.46,6.45
1906-01-01,5.16,5.16
1907-01-01,4.39,4.39
1908-01-01,7.08,7.06
1909-01-01,7.51,7.48
1910-01-01,5.77,5.76
1911-01-01,4.73,4.73
1912-01-01,3.95,3.97
1913-01-01,3.61,3.63
1914-01-01,3.16,3.16
1915-01-01,0.95,0.95
1916-01-01,0.33,0.33
1917-01-01,0.47,0.47
1918-01-01,0.65,0.65
1919-01-01,3.02,3.02
1920-01-01,1.95,1.95
1921-01-01,11.02,11.02
1922-01-01,9.68,9.68
1923-01-01,7.99,7.99
1924-01-01,7.12,7.12
1925-01-01,7.76,7.76
1926-01-01,8.67,8.67
1927-01-01,6.71,6.71
1928-01-01,7.43,7.43
1929-01-01,7.18,7.18
1930-01-01,11.10,11.10
1931-01-01,14.88,14.88
1932-01-01,15.39,15.39
1933-01-01,13.93,13.93
1934-01-01,11.73,11.73
1935-01-01,10.87,10.87
1936-01-01,9.25,9.25
1937-01-01,7.70,7.70
1938-01-01,9.20,9.20
1939-01-01,5.68,5.68
1940-01-01,2.99,2.99
1941-01-01,1.03,1.03
1942-01-01,0.44,0.44
1943-01-01,0.32,0.32
1944-01-01,0.28,0.28
1945-01-01,0.41,0.41
1946-01-01,2.04,2.04
1947-01-01,1.62,1.62
1948-01-01,1.64,1.64
1949-01-01,1.53,1.53
1950-01-01,1.82,1.82
1951-01-01,1.57,1.57
1952-01-01,2.36,2.36
1953-01-01,2.03,2.03
1954-01-01,1.77,1.77
1955-01-01,1.55,1.55
1956-01-01,1.64,1.64
1957-01-01,1.89,1.89
1958-01-01,2.53,2.53
1959-01-01,2.64,2.64
1960-01-01,2.14,2.14
1961-01-01,2.07,2.07
1962-01-01,2.60,2.60
1963-01-01,3.10,3.10
1964-01-01,2.40,2.40
1965-01-01,2.26,2.26
1966-01-01,2.47,2.47
1967-01-01,3.37,3.37
1968-01-01,3.49,3.49
1969-01-01,3.50,3.50
1970-01-01,3.75,3.75
1971-01-01,4.14,4.14
1972-01-01,4.34,4.34
1973-01-01,3.65,3.65
1974-01-01,3.65,3.65
1975-01-01,4.50,4.50
1976-01-01,5.40,5.40
1977-01-01,5.59,5.59
1978-01-01,5.51,5.51
1979-01-01,5.38,5.38
1980-01-01,6.81,6.81
1981-01-01,9.65,9.65
1982-01-01,10.72,10.72
1983-01-01,11.47,11.47
1984-01-01,11.77,11.77
1985-01-01,11.36,11.36
1986-01-01,11.32,11.32
1987-01-01,10.43,10.43
1988-01-01,8.57,8.57
1989-01-01,7.22,7.22
1990-01-01,7.10,7.10
1991-01-01,8.82,8.82
1992-01-01,9.95,9.95
1993-01-01,10.37,10.37
1994-01-01,9.50,9.50
1995-01-01,8.62,8.62
1996-01-01,8.10,8.10
1997-01-01,6.97,6.97
1998-01-01,6.26,6.26
1999-01-01,5.98,5.98
2000-01-01,5.46,5.46
2001-01-01,5.10,5.10
2002-01-01,5.19,5.19
2003-01-01,5.01,5.01
2004-01-01,4.75,4.75
2005-01-01,4.83,4.83
2006-01-01,5.42,5.42
2007-01-01,5.33,5.33
2008-01-01,5.69,5.69
2009-01-01,7.61,7.61
2010-01-01,7.87,7.87
2011-01-01,8.11,8.11
2012-01-01,7.97,7.97
2013-01-01,7.61,7.61
2014-01-01,6.18,6.18
2015-01-01,5.38,5.38
2016-01-01,4.90,4.90
